state,prov_type,prov_description,source_id,board_name,board_profession_codes,lic_prefix_in_psv,psv_row_count,routing_status
TX,DN,Dental/Nurse,,,,(none):1,1,NOT_CONFIGURED
TX,DP,Doctor of Podiatric Medicine,,,,(none):13,13,NOT_CONFIGURED
TX,DT,Dietitian/Nutritionist,,,,"DT:183, (none):14",197,NOT_CONFIGURED
TX,LC,Licensed Counselor,,,,"L:9, (none):6",15,NOT_CONFIGURED
TX,LPC,Licensed Professional Counselor,,,,"(none):250, J:1",251,NOT_CONFIGURED
TX,MT,Massage Therapist,,,,(none):23,23,NOT_CONFIGURED
TX,MW,Midwife,,,,"(none):4, AP:1",5,NOT_CONFIGURED
TX,NP,Nurse Practitioner,TX_MEDBOARD,Texas Medical Board,"MD,DO,PA,APRN","(none):505, AP:162, NP:1, RN:1, F:1",670,CONFIGURED
TX,NPB,Nurse Practitioner (Broadened),TX_MEDBOARD,Texas Medical Board,"MD,DO,PA,APRN","(none):15, AP:3",18,CONFIGURED
TX,NUT,Nutritionist,,,,DT:1,1,NOT_CONFIGURED
TX,OP,Optometrist (OP),TX_OPTOMETRY,Texas Optometry Board,OD,(none):27,27,CONFIGURED
TX,OT,Occupational Therapist,,,,(none):12,12,NOT_CONFIGURED
TX,PAB,Physician Assistant (Board),,,,"PA:5, P:1",6,NOT_CONFIGURED
TX,PAS,Physician Assistant,TX_MEDBOARD,Texas Medical Board,"MD,DO,PA,APRN","PA:68, (none):1",69,CONFIGURED
TX,PH,Pharmacist,,,,"(none):279, V:55, L:49, U:46, S:39, R:37, K:37, M:35, P:35, T:30, J:29, N:26, H:24, Q:24, W:14, G:8, E:5, F:5, MMIN:3, IMMIN:3, TM:2, D:1, IMM:1",787,NOT_CONFIGURED
TX,PN,Practical Nurse (LPN),,,,"(none):130, AP:27",157,NOT_CONFIGURED
TX,PT,Physical Therapist,,,,"(none):23, CP:3",26,NOT_CONFIGURED
TX,RN,Registered Nurse,,,,(none):1,1,NOT_CONFIGURED
TX,RNA,Registered Nurse Anesthetist,,,,"(none):5, AP:4, TEMP:1",10,NOT_CONFIGURED
TX,SH,Speech-Language Pathologist,,,,(none):16,16,NOT_CONFIGURED
TX,SW,Social Worker,,,,(none):95,95,NOT_CONFIGURED
UT,ABA,Applied Behavior Analyst,,,,(none):7,7,NOT_CONFIGURED
UT,AU,Audiologist,,,,(none):1,1,NOT_CONFIGURED
UT,CP,Clinical Psychologist,,,,"(none):8, PSYPACT:1",9,NOT_CONFIGURED
UT,LPC,Licensed Professional Counselor,,,,(none):2,2,NOT_CONFIGURED
UT,MW,Midwife,,,,(none):5,5,NOT_CONFIGURED
UT,NP,Nurse Practitioner,,,,(none):125,125,NOT_CONFIGURED
UT,NPB,Nurse Practitioner (Broadened),,,,(none):7,7,NOT_CONFIGURED
UT,OT,Occupational Therapist,,,,(none):4,4,NOT_CONFIGURED
UT,PAB,Physician Assistant (Board),,,,(none):1,1,NOT_CONFIGURED
UT,PAS,Physician Assistant,,,,"(none):2, PA:1",3,NOT_CONFIGURED
UT,PH,Pharmacist,,,,(none):211,211,NOT_CONFIGURED
UT,PN,Practical Nurse (LPN),,,,(none):46,46,NOT_CONFIGURED
UT,PT,Physical Therapist,,,,"(none):5, CP:3",8,NOT_CONFIGURED
UT,SW,Social Worker,,,,(none):4,4,NOT_CONFIGURED
VA,ABA,Applied Behavior Analyst,,,,"(none):69, LBA:1",70,NOT_CONFIGURED
VA,AP,Acupuncturist,VA_DHP,Virginia Department of Health Professions — License Lookup,"MD,DO,RN,LPN,APRN,DDS,DMD,PharmD,PT,OT,PA,SW,LCSW,LPC,MFT,MT,OD,SLP,AUD,DC,PSYCH,DPM,NA,AT,RRT,ACUP,RD,LMFT",(none):2,2,CONFIGURED
VA,AU,Audiologist,VA_DHP,Virginia Department of Health Professions — License Lookup,"MD,DO,RN,LPN,APRN,DDS,DMD,PharmD,PT,OT,PA,SW,LCSW,LPC,MFT,MT,OD,SLP,AUD,DC,PSYCH,DPM,NA,AT,RRT,ACUP,RD,LMFT",(none):3,3,CONFIGURED
